name,author
The Fault in Our Stars,John Green
Of Mice and Men,John Steinbeck
Fifty Shades of Grey,E.L. James
The Girl on the Train,Paula Hawkins
Life of Pi,Yann Martel
Where the Sidewalk Ends,Shel Silverstein
Insurgent,Veronica Roth
Gone with the Wind,Margaret Mitchell
My Sister''s Keeper,Jodi Picoult
A Thousand Splendid Suns, Khaled Hosseini
The Maze Runner,James Dashner
Holes,Louis Sachar
The Host,Stephanie Meyer
Bridget Jones''s Diary,Helen Fielding
The Picture of Dorian Gray,Oscar Wilde
The Devil Wears Prada,Lauren Weisberger
A Tale of Two Cities,Charles Dickens
Paper Towns,John Green
Allegiant,Veronica Roth
Steve Jobs,Walter Isaacson
Bossypants,Tina Fey
City of Glass,Cassandra Clare
All the Light We Cannot See,Anthony Doerr
The Princess Bride,William Goldman
A Clash of Kings,George R.R. Martin
Fifty Shades Darker,E.L. James
Outlander,Diana Gabaldon
Tuesday with Morrie,Mitch Albom
The Selection,Kiera Cass
A Time to Kill,John Grisham
Fifty Shades Freed,E.L. James
One Hundred Years of Solitude,Gabriel Marquez
Room,Emma Donoghue
The Grapes of Wrath,John Steinbeck
The Road,Cormac McCarthy
Les Miserables,Victor Hugo
Unbroken: A World War II Story,Laura Hillenbrand
The Sea of Monsters,Rick Riordan
American Gods,Neil Gaiman
It,Stephen King
Freakonomics,Steven Levitt
The Battle of the Labyrinth,Rick Riordan
Confessions of a Shopaholic,Sophie Kinsella
A Walk to Remember,Nicholas Sparks
Matched,Ally Condie
The Two Towers,J.R.R. Tolkien
A Storm of Swords,George R.R. Martin
The Sisterhood of the Traveling Pants,Ann Brashares
The Tipping Point,Malcolm Gladwell
Lolita,Vladmir Nabokov
The Return of the King,J.R.R. Tolkien
The Titan''s Curse,Rick Riordan
Me Talk Pretty One Day,David Sedaris
Charlie and the Chocolate Factory,Roald Dahl
The Last Olympian,Rick Riordan
The Pillars of Earth,Ken Follett
Girl with a Pearl Earring,Tracy Chevalier
One Flew Over the Cuckoo''s Nest,Ken Kasey
Wicked,Gregory Maguire
Emma,Jane Austen
Middlesex,Jeffrey Eugenides
Cinder,Marissa Meyer
The Goldfinch,Donna Tartt
The Lost Hero,Rick Riordan
The Night Circus,Erin Morgenstern
The Memory Keeper''s Daughter,Kim Edwards
A Feast of Crows,George R.R. Martin
Anna Karenina,Leo Tolstoy
Deception Point,Dan Brown
The Firm,John Grisham
The Stand,Stephen King
Wonder,R.J. Palacio
Big Little Lies,Liane Moriarty
A Clockwork Orange,Anthony Burgess
Uglies,Scott Westerfield
Educated,Tara Westover
Crime and Punishment,Fyodor Dostoyevsky
Matilda,Roald Dahl
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
Digital Fortress,Dan Brown
Dear John,Nicholas Sparks
Vampire Academy,Richelle Mead
The Bell Jar,Sylvia Plath
Wild: From Lost to Found,Cheryl Strayed
Beautiful Disaster,Jamie McGuire
The Red Tent,Anita Diamant
The Last Song,Nicholas Sparks
Dead Until Dark,Charlaine Harris
A Dance with Dragons,George R.R. Martin
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer
Something Borrowed,Emily Giffin
Angela''s Ashes,Frank McCourt
Persuasion,Jane Austen
Dark Places,Gillian Flynn
Watchmen,Alan Moore
Fangirl,Rainbow Rowell
The Color Purple,Alice Walker
One for the Money,Janet Evanovich
Fallen,Lauren Kate
The Gunslinger,Stephen King
The Nightingale,Kristin Hannah
The Other Boleyn Girl,Philippa Gregory
The Husband''s Secret,Liane Moriarty
Bared to You,Sylvia Day
Marley and Me,John Grogan
Throne of Glass,Sarah J Maas
City of Fallen Angels,Cassandra Clare
Outliers,Malcolm Gladwell
Blink,Malcolm Gladwell
The Devil in the White City,Erik Larson
The Silence of the Lambs,Thomas Harris
Atonement,Ian McEwan
The Cuckoo''s Calling,Robert Galbraith
Inferno,Dan Brown
An Abundance of Katherines,John Green
The Ocean at the End of the Lane,Neil Gaiman
Bridge to Terabithia,Katherin Paterson
Flowers for Algernon,Daniel Keyes
Delirium,Lauren Oliver
Red Queen,Victoria Aveyard
How to Win Friends and Influence People,Dale Carnegie
The Scorch Trials,James Dashner
The Boy in the Striped Pajamas,John Boyne
The 7 Habits of Highly Effective People,Stephen Covey
Good Omens,Terry Pratchett and Neil Gaiman
Sarah''s Key,Tatiana Rosnay
Never Let Me Go,Kazuo Ishiguro
World War Z,Max Brooks
East of Eden,John Steinbeck
The Mark of Athena,Rick Riordan
Rebecca,Daphne du Maurier
City of Lost Souls,Cassandra Clare
The Bourne Identity,Robert Ludlum
The Shadow of the Wind,Carlos Zafon
Legend,Marie Lu
We Were Liars,E. Lockhard
A Man Called Ove,Fredrik Backman
Is Everything Hanging Out Without Me?,Mindy Kaling
The Rosie Project,Graeme Simsion
The Client,John Grisham
The Son of Neptune,Rick Riordan
The Tales of Beedle the Bard,J.K. Rowling
Love in the Time of Cholera,Gabriel Marquez
Extremely Loud and Incredibly Close,Jonathan Foer
Neverwhere,Neil Gaiman
The Nanny Diaries,Emma McLaughlin
A Child Called It,David Pelzer
The Light Between Oceans,M.L. Stedman
Watership Down,Richard Adams
Yes Please,Amy Poehler
Graceling,Kristin Cashore
The Sun Also Rises,Ernest Hemingway
Can You Keep a Secret?,Sophie Kinsella
The Wise Man''s Fear,Patrick Rothfuss
Running with Scissors,Augusten Burroughs
Into the Air,Jon Krakauer
Atlas Shrugged,Ayn Rand
The Pelican Brief,John Grisham
Inheart,Cornelia Funk
James and the Giant Peach,Roald Dahl
Anna and the French Kiss,Stephanie Perkins
Pet Sematary,Stephen King
Snow Flower and the Secret Fan,Lisa See
The Elite,Kiera Cass
Cutting for Stone,Abraham Verghese
Orphan Train,Chrstina Kline
Three Cups of Tea,Greg Mortenson
P.S. I Love You,Cecelia Ahern
Diary of a Wimpy Kid,Jeff Kinney
The Lucky One,Nicholas Sparks
Shadow Kiss,Richelle Mead
Like Water for Chocolate,Laura Esquivel
Safe Haven,Nicholas Sparks
The BFG,Roald Dahl
Cat''s Cradle,Kurt Vonnegut
